ISO 639-3,ISO 639-1,Language Name,Alternate Names
aaa,,Ghotuo,
aab,,Alumu-Tesu,
aac,,Ari,
aad,,Amal,
aae,,Arbereshe Albanian,
aaf,,Aranadan,
aag,,Ambrak,
aah,,Abu' Arapesh,
aai,,Arifama-Miniafia,
aak,,Ankave,
aal,,Afade,
aan,,Anambe,
aao,,Algerian Saharan Arabic,
aap,,Para Arara,
aaq,,Eastern Abnaki,
aar,aa,Afar,
aas,,Aasax,
aat,,Arvanitika Albanian,
aau,,Abau,
aaw,,Solong,
aax,,Mandobo Atas,
aaz,,Amarasi,
aba,,Abe,
abb,,Bankon,
abc,,Ambala Ayta,
abd,,Manide,
abe,,Western Abnaki,
abf,,Abai Sungai,
abg,,Abaga,
abh,,Tajiki Arabic,
abi,,Abidji,
abj,,Aka-Bea,
abk,ab,Abkhazian,
abl,,Lampung Nyo,
abm,,Abanyom,
abn,,Abua,
abo,,Abon,
abp,,Abellen Ayta,
abq,,Abaza,
abr,,Abron,
abs,,Ambonese Malay,
abt,,Ambulas,
abu,,Abure,
abv,,Baharna Arabic,
abw,,Pal,
abx,,Inabaknon,
aby,,Aneme Wake,
abz,,Abui,
aca,,Achagua,
acb,,Anca,
acd,,Gikyode,
ace,,Achinese,
acf,,Saint Lucian Creole French,Kwéyòl
ach,,Acoli,
aci,,Aka-Cari,
ack,,Aka-Kora,
acl,,Akar-Bale,
acm,,Mesopotamian Arabic,
acn,,Achang,
acp,,Eastern Acipa,
acq,,Ta'izzi-Adeni Arabic,
acr,,Achi,
acs,,Acroa,
act,,Achterhoeks,
acu,,Achuar-Shiwiar,
acv,,Achumawi,
acw,,Hijazi Arabic,
acx,,Omani Arabic,
acy,,Cypriot Arabic,
acz,,Acheron,
ada,,Adangme,
adb,,Adabe,
add,,Lidzonka,Dzodinka
ade,,Adele,
adf,,Dhofari Arabic,
adg,,Andegerebinha,
adh,,Adhola,
adi,,Adi,
adj,,Adioukrou,
adl,,Galo,
adn,,Adang,
ado,,Abu,
adq,,Adangbe,
adr,,Adonara,
ads,,Adamorobe Sign Language,
adt,,Adnyamathanha,
adu,,Aduge,
adw,,Amundava,
adx,,Amdo Tibetan,
ady,,Adyghe,
adz,,Adzera,
aea,,Areba,
aeb,,Tunisian Arabic,
aec,,Saidi Arabic,
aed,,Argentine Sign Language,
aee,,Northeast Pashai,
aek,,Haeke,
ael,,Ambele,
aem,,Arem,
aen,,Armenian Sign Language,
aeq,,Aer,
aer,,Eastern Arrernte,
aes,,Alsea,
aeu,,Akeu,
aew,,Ambakich,
aey,,Amele,
aez,,Aeka,
afb,,Gulf Arabic,
afd,,Andai,
afe,,Putukwam,
afg,,Afghan Sign Language,
afh,,Afrihili,
afi,,Akrukay,
afk,,Nanubae,
afn,,Defaka,
afo,,Eloyi,
afp,,Tapei,
afr,af,Afrikaans,
afs,,Afro-Seminole Creole,
aft,,Afitti,
afu,,Awutu,
afz,,Obokuitai,
aga,,Aguano,
agb,,Legbo,
agc,,Agatu,
agd,,Agarabi,
age,,Angal,
agf,,Arguni,
agg,,Angor,
agh,,Ngelima,
agi,,Agariya,
agj,,Argobba,
agk,,Isarog Agta,
agl,,Fembe,
agm,,Angaataha,
agn,,Agutaynen,
ago,,Tainae,
agq,,Aghem,
agr,,Aguaruna,
ags,,Esimbi,
agt,,Central Cagayan Agta,
agu,,Aguacateco,
agv,,Remontado Dumagat,
agw,,Kahua,
agx,,Aghul,
agy,,Southern Alta,
agz,,Mt. Iriga Agta,
aha,,Ahanta,
ahb,,Axamb,
ahg,,Qimant,
ahh,,Aghu,
ahi,,Tiagbamrin Aizi,
ahk,,Akha,
ahl,,Igo,
ahm,,Mobumrin Aizi,
ahn,,Ahan,
aho,,Ahom,
ahp,,Aproumu Aizi,
ahr,,Ahirani,
ahs,,Ashe,
aht,,Ahtena,
aia,,Arosi,
aib,,Ainu <China>,
aic,,Ainbai,
aid,,Alngith,
aie,,Amara,
aif,,Agi,
aig,,Antigua And Barbuda Creole English,
aih,,Ai-Cham,
aii,,Assyrian Neo-Aramaic,
aij,,Lishanid Noshan,
aik,,Ake,
ail,,Aimele,
aim,,Aimol,
ain,,Ainu,
aio,,Aiton,
aip,,Burumakok,
aiq,,Aimaq,
air,,Airoran,
ais,,Nataoran Amis,
ait,,Arikem,
aiw,,Aari,
aix,,Aighon,
aiy,,Ali,
aja,,Aja <Sudan>,
ajg,,Aja <Benin>,
aji,,Ajie,
ajn,,Andajin,
ajp,,South Levantine Arabic,
ajt,,Judeo-Tunisian Arabic,
aju,,Judeo-Moroccan Arabic,
ajw,,Ajawa,
ajz,,Amri Karbi,
aka,ak,Akan,
akb,,Batak Angkola,
akc,,Mpur,
akd,,Ukpet-Ehom,
ake,,Akawaio,
akf,,Akpa,
akg,,Anakalangu,
akh,,Angal Heneng,
aki,,Aiome,
akj,,Aka-Jeru,
akk,,Akkadian,Babylonian
akl,,Aklanon,
akm,,Aka-Bo,
ako,,Akurio,
akp,,Siwu,
akq,,Ak,
akr,,Araki,
aks,,Akaselem,
akt,,Akolet,
aku,,Akum,
akv,,Akhvakh,
akw,,Akwa,
akx,,Aka-Kede,
aky,,Aka-Kol,
akz,,Alabama,
ala,,Alago,
alc,,Qawasqar,
ald,,Alladian,
ale,,Aleut,
alf,,Alege,
alh,,Alawa,
ali,,Amaimon,
alj,,Alangan,
alk,,Alak,
all,,Allar,
alm,,Amblong,
aln,,Gheg Albanian,
alo,,Larike-Wakasihu,
alp,,Alune,
alq,,Algonquin,
alr,,Alutor,
als,,Tosk Albanian,
alt,,Southern Altai,
alu,,Are'are,
alw,,Alaba-K'abeena,
alx,,Amol,
aly,,Alyawarr,
alz,,Alur,
ama,,Amanaye,
amb,,Ambo,
amc,,Amahuaca,
ame,,Yanesha',
amf,,Hamer-Banna,
amg,,Amurdak,
amh,am,Amharic,
ami,,Amis,
amj,,Amdang,
amk,,Ambai,
aml,,War-Jaintia,
amm,,Ama <Papua New Guinea>,
amn,,Amanab,
amo,,Amo,
amp,,Alamblak,
amq,,Amahai,
amr,,Amarakaeri,
ams,,Southern Amami-Oshima,
amt,,Amto,
amu,,Guerrero Amuzgo,
amv,,Ambelau,
amw,,Western Neo-Aramaic,
amx,,Anmatyerre,
amy,,Ami,
amz,,Atampaya,
ana,,Andaqui,
anb,,Andoa,
anc,,Ngas,
and,,Ansus,
ane,,Xaracuu,
anf,,Animere,
ang,,Old English,
anh,,Nend,
ani,,Andi,
anj,,Anor,
ank,,Goemai,
anl,,Anu-Hkongso Chin,
anm,,Anal,
ann,,Obolo,
ano,,Andoque,
anp,,Angika,
anq,,Jarawa <India>,
anr,,Andh,
ans,,Anserma,
ant,,Antakarinya,
anu,,Anuak,
anv,,Denya,
anw,,Anaang,
anx,,Andra-Hus,
any,,Anyin,
anz,,Anem,
