a,a,a,a
ai,ai,ai,ai
an,an,an,an
ang,ang,ang,ang
ao,au,ao,au
ba,ba,pa,ba
bai,bai,pai,bai
ban,ban,pan,ban
bang,bang,pang,bang
bao,bau,pao,bau
bei,bei,pei,bei
ben,ben,pen,ben
beng,beng,peng,beng
bi,bi,pi,bi
bian,byan,pien,bian
biang,byang,piang,biang
biao,byau,piao,biau
bie,bye,pieh,bie
bin,bin,pin,bin
bing,bing,ping,bing
bo,bwo,po,bo
bu,bu,pu,bu
ca,tsa,ts'a,tsa
cai,tsai,ts'ai,tsai
can,tsan,ts'an,tsan
cang,tsang,ts'ang,tsang
cao,tsau,ts'ao,tsau
ce,tse,ts'e,tse
cen,tsen,ts'en,tsen
ceng,tseng,ts'eng,tseng
cha,cha,ch'a,cha
chai,chai,ch'ai,chai
chan,chan,ch'an,chan
chang,chang,ch'ang,chang
chao,chau,ch'ao,chau
che,che,ch'e,che
chen,chen,ch'en,chen
cheng,cheng,ch'eng,cheng
chi,chr,ch'ih,chy
chong,chung,ch'ung,chong
chou,chou,ch'ou,chou
chu,chu,ch'u,chu
chuai,chwai,ch'uai,chuai
chuan,chwan,ch'uan,chuan
chuang,chwang,ch'uang,chuang
chui,chwei,ch'ui,chuei
chun,chwun,ch'un,chuen
chuo,chwo,ch'o,chuo
ci,tsz,tz'u,tsy
cong,tsung,ts'ung,tsong
cou,tsou,ts'ou,tsou
cu,tsu,ts'u,tsu
cuan,tswan,ts'uan,tsuan
cui,tswei,ts'ui,tsuei
cun,tswun,ts'un,tsuen
cuo,tswo,ts'o,tsuo
da,da,ta,da
dai,dai,tai,dai
dan,dan,tan,dan
dang,dang,tang,dang
dao,dau,tao,dau
de,de,te,de
deng,deng,teng,deng
di,di,ti,di
dian,dyan,tien,dian
diao,dyau,tiao,diang
die,dye,tieh,diau
ding,ding,ting,die
diu,dyou,tiu,ding
dong,dung,tung,diou
dou,dou,tou,dong
du,du,tu,dou
duan,dwan,tuan,du
duang,dwang,tuang,duan
dui,dwei,tui,duei
dun,dwun,tun,duen
duo,dwo,to,duo
e,e,e,e
en,en,en,ei
eng,eng,eng,en
er,er,erh,el
fa,fa,fa,fa
fan,fan,fan,fan
fang,fang,fang,fang
fei,fei,fei,fei
fen,fen,fen,fen
feng,feng,feng,feng
fiao,fyau,fiao,fiau
fo,fwo,fo,fo
fou,fou,fou,fou
fu,fu,fu,fu
ga,ga,ka,ga
gai,gai,kai,gai
gan,gan,kan,gan
gang,gang,kang,gang
gao,gau,kao,gau
ge,ge,ko,ge
gei,gei,kei,gei
gen,gen,ken,gen
geng,geng,keng,geng
gong,gung,kung,gong
gou,gou,kou,gou
gu,gu,ku,gu
gua,gwa,kua,gua
guai,gwai,kuai,guai
guan,gwan,kuan,guan
guang,gwang,kuang,guang
gui,gwei,kuei,guei
gun,gwun,kun,guen
guo,gwo,kuo,guo
ha,ha,ha,ha
hai,hai,hai,hai
han,han,han,han
hang,hang,hang,hang
hao,hau,hao,hau
he,he,ho,he
hei,hei,hei,hei
hen,hen,hen,hen
heng,heng,heng,heng
